year,date,count
2007,2007-08-08,965
2007,2007-08-09,1136
2007,2007-08-10,1415
2007,2007-08-11,1070
2007,2007-08-12,988
2007,2007-08-13,1069
2007,2007-08-14,1150
2007,2007-08-15,713
2007,2007-08-16,1156
2007,2007-08-17,1075
2007,2007-08-18,978
2007,2007-08-19,754
2007,2007-08-20,990
2007,2007-08-21,1059
2007,2007-08-22,1112
2007,2007-08-23,998
2007,2007-08-24,1319
2007,2007-08-25,997
2007,2007-08-26,803
2007,2007-08-27,985
2007,2007-08-28,1098
2007,2007-08-29,1060
2007,2007-08-30,1063
2007,2007-08-31,1308
2007,2007-09-01,1220
2007,2007-09-02,696
2007,2007-09-03,1387
2007,2007-09-04,1204
2007,2007-09-05,1509
2007,2007-09-06,1269
2007,2007-09-07,1441
2007,2007-09-08,1113
2007,2007-09-09,953
2007,2007-09-10,1386
2007,2007-09-11,1184
2007,2007-09-12,1077
2007,2007-09-13,1055
2007,2007-09-14,1336
2007,2007-09-15,1220
2007,2007-09-16,728
2007,2007-09-17,1190
2007,2007-09-18,1402
2007,2007-09-19,1134
2007,2007-09-20,1236
2007,2007-09-21,1514
2007,2007-09-22,1144
2007,2007-09-23,875
2007,2007-09-24,1187
2007,2007-09-25,1194
2007,2007-09-26,1034
2007,2007-09-27,1089
2007,2007-09-28,1599
2007,2007-09-29,1264
2007,2007-09-30,877
2007,2007-10-01,1153
2007,2007-10-02,1230
2007,2007-10-03,1085
2007,2007-10-04,1046
2007,2007-10-05,1468
2007,2007-10-06,1062
2007,2007-10-07,931
2007,2007-10-08,1051
2007,2007-10-09,1062
2007,2007-10-10,1087
2007,2007-10-11,1062
2007,2007-10-12,1878
2007,2007-10-13,1062
2007,2007-10-14,830
2007,2007-10-15,1313
2007,2007-10-16,1103
2007,2007-10-17,1098
2007,2007-10-18,1438
2007,2007-10-19,1659
2007,2007-10-20,1241
2007,2007-10-21,837
2007,2007-10-22,948
2007,2007-10-23,1200
2007,2007-10-24,1190
2007,2007-10-25,1063
2007,2007-10-26,1266
2007,2007-10-27,974
2007,2007-10-28,692
2007,2007-10-29,1080
2007,2007-10-30,1170
2007,2007-10-31,1637
2007,2007-11-01,837
2007,2007-11-02,1371
2007,2007-11-03,1064
2007,2007-11-04,873
2007,2007-11-05,947
2007,2007-11-06,1284
2007,2007-11-07,1586
2007,2007-11-08,1173
2007,2007-11-09,1509
2007,2007-11-10,1438
2007,2007-11-11,680
2007,2007-11-12,1321
2007,2007-11-13,1307
2007,2007-11-14,1223
2007,2007-11-15,1160
2007,2007-11-16,1257
2007,2007-11-17,863
2007,2007-11-18,597
2007,2007-11-19,1041
2007,2007-11-20,1113
2007,2007-11-21,1253
2007,2007-11-22,1291
2007,2007-11-23,1569
2007,2007-11-24,1041
2007,2007-11-25,712
2007,2007-11-26,1456
2007,2007-11-27,1239
2007,2007-11-28,1192
2007,2007-11-29,1052
2007,2007-11-30,1715
2007,2007-12-01,1067
2007,2007-12-02,769
2007,2007-12-03,1304
2007,2007-12-04,1123
2007,2007-12-05,1061
2007,2007-12-06,1194
2007,2007-12-07,1768
2007,2007-12-08,936
2007,2007-12-09,757
2007,2007-12-10,1281
2007,2007-12-11,1377
2007,2007-12-12,1324
2007,2007-12-13,1134
2007,2007-12-14,1651
2007,2007-12-15,943
2007,2007-12-16,726
2007,2007-12-17,1084
2007,2007-12-18,1290
2007,2007-12-19,1278
2007,2007-12-20,1338
2007,2007-12-21,1720
2007,2007-12-22,1279
2007,2007-12-23,840
2007,2007-12-24,1038
2007,2007-12-25,615
2007,2007-12-26,563
2007,2007-12-27,1111
2007,2007-12-28,1168
2007,2007-12-29,885
2007,2007-12-30,536
2007,2007-12-31,1067
2008,2008-01-01,585
2008,2008-01-02,928
2008,2008-01-03,933
2008,2008-01-04,1036
2008,2008-01-05,744
2008,2008-01-06,902
2008,2008-01-07,1186
2008,2008-01-08,1236
2008,2008-01-09,1253
2008,2008-01-10,1286
2008,2008-01-11,1501
2008,2008-01-12,1210
2008,2008-01-13,830
2008,2008-01-14,1502
2008,2008-01-15,1276
2008,2008-01-16,1191
2008,2008-01-17,1234
2008,2008-01-18,1370
2008,2008-01-19,1120
2008,2008-01-20,843
2008,2008-01-21,1264
2008,2008-01-22,1268
2008,2008-01-23,939
2008,2008-01-24,853
2008,2008-01-25,1096
2008,2008-01-26,878
2008,2008-01-27,811
2008,2008-01-28,1154
2008,2008-01-29,1021
2008,2008-01-30,913
2008,2008-01-31,997
2008,2008-02-01,1093
2008,2008-02-02,943
2008,2008-02-03,785
2008,2008-02-04,1174
2008,2008-02-05,1091
2008,2008-02-06,1174
2008,2008-02-07,1011
2008,2008-02-08,1248
2008,2008-02-09,859
2008,2008-02-10,521
2008,2008-02-11,910
2008,2008-02-12,853
2008,2008-02-13,856
2008,2008-02-14,1132
2008,2008-02-15,1443
2008,2008-02-16,1143
2008,2008-02-17,530
2008,2008-02-18,1363
2008,2008-02-19,1012
2008,2008-02-20,996
2008,2008-02-21,1014
2008,2008-02-22,1230
2008,2008-02-23,864
2008,2008-02-24,615
2008,2008-02-25,1065
2008,2008-02-26,986
2008,2008-02-27,1082
2008,2008-02-28,900
2008,2008-02-29,1048
2008,2008-03-01,1387
2008,2008-03-02,769
2008,2008-03-03,1060
2008,2008-03-04,1094
2008,2008-03-05,1094
2008,2008-03-06,1087
2008,2008-03-07,1162
2008,2008-03-08,1057
2008,2008-03-09,610
2008,2008-03-10,1139
2008,2008-03-11,1020
2008,2008-03-12,1409
2008,2008-03-13,1277
2008,2008-03-14,1357
2008,2008-03-15,972
2008,2008-03-16,755
2008,2008-03-17,1375
2008,2008-03-18,1392
2008,2008-03-19,1407
2008,2008-03-20,1582
2008,2008-03-21,1296
2008,2008-03-22,765
2008,2008-03-23,486
2008,2008-03-24,639
2008,2008-03-25,1101
2008,2008-03-26,1268
2008,2008-03-27,963
2008,2008-03-28,1001
2008,2008-03-29,922
2008,2008-03-30,710
2008,2008-03-31,1084
2008,2008-04-01,1012
2008,2008-04-02,1095
2008,2008-04-03,1093
2008,2008-04-04,1049
2008,2008-04-05,834
2008,2008-04-06,654
2008,2008-04-07,1261
2008,2008-04-08,1197
2008,2008-04-09,1055
2008,2008-04-10,1175
2008,2008-04-11,1304
2008,2008-04-12,1113
2008,2008-04-13,766
2008,2008-04-14,1132
2008,2008-04-15,1161
2008,2008-04-16,1330
2008,2008-04-17,1260
2008,2008-04-18,1303
2008,2008-04-19,1129
2008,2008-04-20,758
2008,2008-04-21,1165
2008,2008-04-22,1127
2008,2008-04-23,1119
2008,2008-04-24,1147
2008,2008-04-25,1368
2008,2008-04-26,1046
2008,2008-04-27,777
2008,2008-04-28,1200
2008,2008-04-29,1197
2008,2008-04-30,1454
2008,2008-05-01,833
2008,2008-05-02,1166
2008,2008-05-03,718
2008,2008-05-04,1021
2008,2008-05-05,1199
2008,2008-05-06,1202
2008,2008-05-07,1109
2008,2008-05-08,1188
2008,2008-05-09,1411
2008,2008-05-10,1203
2008,2008-05-11,912
2008,2008-05-12,1375
2008,2008-05-13,1126
2008,2008-05-14,1220
2008,2008-05-15,1212
2008,2008-05-16,1450
2008,2008-05-17,1114
2008,2008-05-18,1025
2008,2008-05-19,1442
2008,2008-05-20,1252
2008,2008-05-21,1680
2008,2008-05-22,520
2008,2008-05-23,1025
2008,2008-05-24,833
2008,2008-05-25,647
2008,2008-05-26,1111
2008,2008-05-27,1045
2008,2008-05-28,1176
2008,2008-05-29,1152
2008,2008-05-30,1346
2008,2008-05-31,1136
2008,2008-06-01,993
2008,2008-06-02,1250
2008,2008-06-03,1263
2008,2008-06-04,1230
2008,2008-06-05,1148
2008,2008-06-06,1339
2008,2008-06-07,1113
2008,2008-06-08,983
2008,2008-06-09,1089
2008,2008-06-10,1206
2008,2008-06-11,1114
2008,2008-06-12,1018
2008,2008-06-13,1322
2008,2008-06-14,974
2008,2008-06-15,764
2008,2008-06-16,1372
2008,2008-06-17,1173
2008,2008-06-18,1015
2008,2008-06-19,1096
2008,2008-06-20,1430
2008,2008-06-21,1000
2008,2008-06-22,848
2008,2008-06-23,1219
2008,2008-06-24,1233
2008,2008-06-25,1108
2008,2008-06-26,1060
2008,2008-06-27,1340
2008,2008-06-28,1074
2008,2008-06-29,829
2008,2008-06-30,1201
2008,2008-07-01,1156
2008,2008-07-02,1143
2008,2008-07-03,1167
2008,2008-07-04,1580
2008,2008-07-05,1137
